name,id,tags,planetary,decivRemove,script,desc,icon,order
Société Urbanisée,urbanized_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.UrbanizedPolity,"Un centre de population dense et cosmopolite où des gens de tous horizons vivent, travaillent et meurent dans des complexes d'habitation empilés, des galeries commerciales et des ateliers modulaires.",graphics/icons/markets/urbanized_polity.png,130
Société Industrielle,industrial_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.IndustrialPolity,"Un centre industriel animé. La politique du gouvernement local encourage une industrie florissante, au détriment de toute autre considération.",graphics/icons/markets/urbanized_polity.png,130
Société Rurale,rural_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RuralPolity,"Une société faiblement peuplée de fermes isolées et de bourgades insulaires. En ces temps troublés, les étrangers sont généralement traités avec méfiance.",graphics/icons/markets/rural_polity.png,130
Population de Réfugiés Importante,large_refugee_population,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.LargeRefugeePopulation,"Des réfugiés désespérés fuyant quelque catastrophe ont échoué ici. Les réfugiés vivent au bas de l'échelle sociale avec peu d'espoir d'amélioration, mettant à rude épreuve les infrastructures locales dans un statut semi-légal tendu. Production globale réduite. Davantage de membres d'équipage potentiels parmi ceux qui tentent d'échapper à ces conditions de vie sordides.",graphics/icons/markets/refugee_population.png,140
Enclos à Homards Volturniens,volturnian_lobster_pens,"show_in_codex, codex_unlockable",TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Un mélange de plusieurs espèces du Vieux Monde et d'un peu d'imagination a donné naissance à cette créature qui prolifère en liberté dans les abysses du plancher océanique de Volturn. Sa saveur est réputée exceptionnelle.,graphics/icons/markets/lobster_pens.png,137
Demande de Vices,vice_demand,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ViceDemand,La demande de produits de vice est inhabituellement élevée ici.,graphics/icons/markets/vice_demand.png,145
Crime Organisé,organized_crime,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.OrganizedCrime,L'activité criminelle produit de la drogue et des organes prélevés. Augmente la demande en armes légères (de la part des chefs du crime et des citoyens) et en fusiliers spatiaux (de la part des autorités locales).,graphics/icons/markets/organized_crime.png,148
Frontière,frontier,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Frontier,"Loin des centres cosmopolites de population, la simple survie, l'autosuffisance et le strict nécessaire sont les règles de la frontière. Demande accrue en armes et fournitures, demande réduite en biens de luxe.",graphics/icons/markets/frontier.png,130
Centre de Démantèlement,shipbreaking_center,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ShipbreakingCenter,"Un centre majeur de démantèlement naval dans cette région du Secteur ; les épaves y sont envoyées à la casse par les marines des grandes factions et de nombreux autres clients des mondes centraux du Secteur.",graphics/icons/markets/shipbreaking.png,360
Centre Commercial,trade_center,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.TradeCenter,"Un centre commercial majeur ; des navires marchands de tout le Secteur accostent ici en espérant trouver un acheteur pour leurs marchandises — et quelque chose à acheter en retour pour un joli profit.",graphics/icons/markets/trade_center.png,280
Décivilisé,decivilized,,,,com.fs.starfarer.api.impl.campaign.econ.Decivilized,"Il n'y a pas de société dirigeante stable ici. La civilisation s'est effondrée et la population actuelle est effectivement inconnue, bien que des groupes de survivants, de bandits et de pillards puissent être détectés.",graphics/icons/markets/decivilized.png,130
Sous-Population Décivilisée,decivilized_subpop,,,,com.fs.starfarer.api.impl.campaign.econ.DecivilizedSubpop,"La civilisation a été rétablie dans certaines parties de $market, souvent à la pointe d'un fusil Gauss. Cependant, une population effectivement inconnue de survivants, bandits et pillards subsiste en marge.",graphics/icons/markets/decivilized.png,130
Station Abandonnée,abandoned_station,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.AbandonedStation,Cette station est abandonnée.,graphics/icons/markets/abandoned.png,130
Industrie Artisanale,cottage_industry,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.CottageIndustry,"$Market possède une base substantielle d'industrie légère à faible technologie et forte main-d'œuvre. Augmente la demande en combustibles organiques simples et en matériaux, fournit un approvisionnement inefficace mais charmant en biens domestiques artisanaux.",graphics/icons/markets/cottage_industry.png,230
Avant-Poste,outpost,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Outpost,"$Market fonctionne comme une garnison ou un grand vaisseau spatial, avec une structure de commandement officielle rigide. Cela améliore la stabilité, mais nécessite du personnel affecté à la sécurité intérieure.",graphics/icons/markets/outpost.png,130
Majorité Luddique,luddic_majority,"show_in_codex, codex_unlockable",,TRUE,com.fs.starfarer.api.impl.campaign.econ.LuddicMajority,,graphics/icons/markets/luddic_majority.png,142
Champs de Mines Furtifs,stealth_minefields,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.StealthMinefields,Un réseau de mines furtives assure la sécurité de $market contre les intrus importuns. Améliore la stabilité.,graphics/icons/markets/stealth_mines.png,510
Capitale Régionale,regional_capital,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RegionalCapital,"Un centre majeur d'administration, de sécurité et de logistique. Améliore la stabilité.",graphics/icons/markets/capital.png,500
Port Franc,free_market,show_in_codex,,TRUE,com.fs.starfarer.api.impl.campaign.econ.FreeMarket,"L'autorité portuaire locale n'impose presque aucune réglementation sur les marchandises échangées. Les contrôles d'immigration sont également assouplis, entraînant un afflux accru de personnes, parfois de caractère douteux. Cela peut amener d'autres factions à considérer cette colonie avec méfiance.",graphics/icons/markets/free_port.png,141
Immigration Fermée,closed_immigration,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ClosedImmigration,"Officiellement, l'immigration vers $market n'est pas autorisée. En pratique, cela ralentit considérablement l'immigration globale et crée un espace pour certains types de criminels.",graphics/icons/markets/vice_demand.png,142
,,,,,,,,
Monde Inhabitable,uninhabitable,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldUninhabitable,"Une planète aride dont la surface ne peut supporter la vie organique telle que nous la connaissons ; l'agriculture est impossible en dehors d'écosystèmes artificiels hermétiques.",graphics/icons/markets/uninhabitable_wide.png,10
Monde de Glace,ice,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldIce,"La température moyenne de $market est bien inférieure au point de congélation de l'eau et certains gaz atmosphériques terriens courants tombent sous forme de neige. Les accumulations et glaciers d'éléments légers et volatils peuvent être récoltés.",graphics/icons/markets/ice_world_wide.png,10
Monde Désert,desert,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldDesert,$Market : planète désertique. Une biosphère xérophile maintient une atmosphère respirable avec un simple masque léger. L'agriculture est quasiment impossible.,graphics/icons/markets/desert_world_wide.png,10
Monde Aride,arid,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldArid,"$Market est recouvert de vastes plaines arides et de terres désolées. L'eau est rare et l'agriculture à grande échelle est difficile.",graphics/icons/markets/arid_world_wide.png,10
Monde Aquatique,water,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldWater,Le climat de $market est hospitalier mais l'agriculture se limite principalement à l'aquaculture et une infrastructure hautement spécialisée est nécessaire pour tout développement d'habitats et d'industrie.,graphics/icons/markets/water_world_wide.png,10
Monde Jungle,jungle,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldJungle,"$Market est un monde de jungle chaud et humide couvert d'une végétation luxuriante et de formes de vie exotiques, rendant l'agriculture et le maintien d'infrastructures permanentes difficiles.",graphics/icons/markets/jungle_world_wide.png,10
Monde Terrien,terran,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTerran,"$Market est ce qui se rapproche le plus des conditions de la Vieille Terre dans le Secteur, offrant des conditions idéales pour l'agriculture et la colonisation.",graphics/icons/markets/terran_world_wide.png,10
Monde Stérile-Marginal,barren_marginal,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldBarrenMarginal,"Inhospitalier et impitoyable, les conditions extérieures sur $market sont à peine supportables pour un humain équipé d'un masque respiratoire et de matériel de protection, bien que certains lichens de terraformation modifiés s'en accommodent.",graphics/icons/markets/barren_desert_wide.png,10
Monde Crépusculaire,twilight,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTwilight,"Verrouillé par effet de marée avec son étoile, ou presque, $market est un monde terraformé dont les jours durent des saisons. Les variations de température jour/nuit sont d'une rigueur extrême même pour la vie terrienne modifiée. Des îlots de biomes « civilisés » tempérés sont maintenus par un usage judicieux de pare-soleil et de miroirs orbitaux.",graphics/icons/markets/twilight_terran_world.png,10
Monde de Toundra,tundra,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTundra,"La terraformation a apporté la vie terrienne sur $market mais le monde reste aussi froid que les plus profondes ères glaciaires de la Terre. Bien que des millions de kilomètres carrés soient couverts de glaciers, il existe aussi des provinces de taïga et des steppes vallonnées où des conditions plus clémentes règnent.",graphics/icons/markets/tundra_terran_wide.png,10
Monde Cryovolcanique,cryovolcanic,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldUninhabitable,"Un monde gelé au-delà du froid le plus extrême, où la neige de méthane tombe sur des montagnes de glace d'eau et des volcans crachent de l'ammoniac. Le rayonnement stellaire décompose les volatils pour former une atmosphère de gaz légers comme l'azote et l'oxygène, tandis que l'hydrogène s'échappe dans l'espace.",graphics/icons/markets/cryo_world_wide.png,10
,,,,,,,,
Population Dissidente,dissident,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Dissident,"$Market est un dépotoir pour les dissidents, rebelles, libres-penseurs, artistes et autres fauteurs de troubles. Augmente la demande en armes et en fusiliers spatiaux pour maintenir l'ordre. Augmente la disponibilité d'équipage due à l'émigration.",graphics/icons/markets/dissidents.png,139
Quartier Général,headquarters,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Headquarters,"$Market est un centre de commandement militaire et d'opérations logistiques pour la société dirigeante. Améliore la stabilité du marché.

Améliore la qualité et le nombre d'officiers dans les flottes de $market.",graphics/icons/markets/headquarters.png,360
Complexe Hydroponique,hydroponics_complex,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Hydroponics,"Installations de production agricole en biosphère fermée permettant la culture en orbite ou à la surface de mondes inhospitaliers. Nécessite de l'équipage pour fonctionner, un milieu de culture organique et de la machinerie lourde pour l'entretien.",graphics/icons/markets/hydroponics.png,120
,,,,,,,,
Population,population_1,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,Seules quelques dizaines de personnes vivent ici en permanence.,graphics/icons/markets/population01.png,20
Population,population_2,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,À peine quelques centaines de personnes peuplent $marketName.,graphics/icons/markets/population02.png,20
Population,population_3,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,Des milliers de personnes ont fait de $marketName leur foyer.,graphics/icons/markets/population03.png,20
Population,population_4,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,Des dizaines de milliers de personnes vivent sur $marketName.,graphics/icons/markets/population04.png,20
Population,population_5,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$MarketName abrite des centaines de milliers de personnes.,graphics/icons/markets/population05.png,20
Population,population_6,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,La population de $marketName se compte en millions.,graphics/icons/markets/population06.png,20
Population,population_7,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$MarketName est un monde de dizaines de millions d'habitants.,graphics/icons/markets/population07.png,20
Population,population_8,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$MarketName est l'un des rares mondes du Secteur à compter des centaines de millions d'habitants.,graphics/icons/markets/population08.png,20
Population,population_9,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,"Précieux refuge pour l'humanité dans une galaxie dangereuse, $marketName abrite des milliards d'âmes.",graphics/icons/markets/population09.png,20
Population,population_10,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,"$MarketName est un centre de population dominant dans le Secteur, rivalisant avec la Vieille Terre en abritant des dizaines de milliards d'humains.",graphics/icons/markets/population10.png,20
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Pénurie Alimentaire,event_food_shortage,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.FoodShortage,"There's a temporary lack of available food on $market.
- Stability reduced by $stabilityPenalty
- Approximately $neededFood units of food needed to end shortage
- Food prices increased due to lowered food supply
- Increased reputation and experience from selling food",graphics/icons/markets/food_shortage.png,1000
Troubles Récents,recent_unrest,show_in_codex,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RecentUnrest,$Market a récemment connu des événements tumultueux dont les effets persistent sur la stabilité.,graphics/icons/markets/recent_unrest.png,2000
Perturbation Commerciale,event_trade_disruption,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.TradeDisruption,"Les flottes commerciales en provenance ou à destination de $market subissent des pertes considérables. La piraterie ou la guerre en sont les causes les plus probables.

Les marchandises suivantes sont affectées :
$commoditySummary",graphics/icons/markets/trade_disruption.png,1100
Contrebande,event_smuggling,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Smuggling,"$market connaît un volume élevé d'activités de contrebande.

- Stabilité réduite de $smugglingPenalty",graphics/icons/markets/smuggling.png,1000
Prime Systémique,event_bounty,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.SystemBounty,,graphics/icons/markets/bounty.png,1000
Noyau d'IA Renégat,rogue_ai_core,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RogueAICore,"Un noyau d'IA renégat opère sur ou à proximité de $market. Ses plans à long terme et ses ambitions, au-delà de sa propre survie, restent inconnus.

Au minimum, la nécessité de se prémunir contre ses actions potentielles rend les opérations quotidiennes moins efficaces et crée un terreau fertile pour des rumeurs alarmantes.",graphics/icons/markets/rogue_ai.png,1200
Admin Noyau IA (caché),ai_core_admin,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.AICoreAdmin,Condition masquée pour suivre quand le noyau devient inamovible. Pas besoin d'icône.,graphics/icons/markets/rogue_ai.png,1000
Activité Pirate,pirate_activity,,,TRUE,com.fs.starfarer.api.impl.campaign.intel.bases.PirateActivity,"Des signes indiquent que des pirates ciblent le trafic maritime et les colonies de ce système — des inspecteurs portuaires contraints de fermer les yeux, des incohérences dans les manifestes de cargaison, et une recrudescence générale de l'activité criminelle.

Les pirates disposent très probablement d'une base quelque part dans les environs.",graphics/icons/markets/pirate_activity.png,1300
Activité Hostile,hostile_activity,,,TRUE,com.fs.starfarer.api.impl.campaign.intel.events.HostileActivity,,graphics/icons/markets/pirate_activity.png,1350
Répit de Piraterie,piracy_respite,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.PiracyRespite,Cette colonie bénéficie d'un répit face aux ravages de la piraterie, si courante dans le Secteur.,graphics/icons/markets/respite40.png,1375
Régime Établi,established_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.EstablishedPolity,,graphics/icons/markets/established_polity.png,1380
Blocus,blockaded,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Blockaded,"Le système où se trouve cette colonie subit un blocus, et le trafic commercial régulier est victime de harcèlement, voire pire. Les effets persisteront tant que la force de blocus ne se sera pas retirée ou n'aura pas été solidement défaite.",graphics/icons/markets/blockade.png,1385
