original,translation
"You can change the frequency of tips by adding a json object instead of a string, like so. For example, this tip has a frequency of 0 and will never show up. The default freq value is 1.","Vous pouvez modifier la fréquence d'apparition des conseils en utilisant un objet JSON plutôt qu'une simple chaîne de caractères. Par exemple, ce conseil a une fréquence de 0 et n'apparaîtra jamais. La fréquence par défaut est 1."
"Lower your shields to dissipate \"hard\" flux generated by taking shield damage.","Désactivez vos boucliers pour dissiper le flux « dur » généré par les dégâts qu'ils subissent."
"Shields and weapons both generate flux, so lowering your shields to take some hits on hull and armor will increase your sustained firepower. This can be vital, especially for heavily armored ships.","Les boucliers et les armes génèrent tous deux du flux. Désactiver temporairement vos boucliers pour encaisser quelques tirs sur la coque et l'armure augmentera votre puissance de feu soutenue. Cette tactique est particulièrement efficace avec les vaisseaux lourdement blindés."
"Beam weapon damage to shields generates \"soft\" flux that can be dissipated without dropping shields","Les armes à faisceau touchant les boucliers génèrent du flux « mou » qui peut être dissipé sans désactiver les boucliers."
"Press TAB to toggle the command UI. Use the command UI to give orders to your fleet.","Appuyez sur TAB pour activer l'interface de commandement et donner des ordres à votre flotte."
"Ordering a ship to escort another will limit the escort's mobility. Use this command with care.","Attention : assigner un vaisseau en escorte limite sa mobilité. Utilisez cet ordre avec précaution."
"If your shields take too much damage, the ship will overload and weapons and shields will be disabled for a few seconds.","Si vos boucliers subissent trop de dégâts, le vaisseau entrera en surcharge, désactivant armes et boucliers pendant quelques secondes."
"Long-range missiles (LRMs) can hit targets beyond visual range. Press Tab to open the command UI and target distant ships by clicking on them and selecting 'Set as Target'.","Les missiles à longue portée (LRM) peuvent toucher des cibles au-delà de votre champ de vision. Ouvrez l'interface de commandement (TAB) et cliquez sur les vaisseaux éloignés pour les marquer comme cible."
"In combat, move the mouse to scroll the view. Press 'T' to lock your view onto your target, and press 'T' again to return to normal view.","En combat, déplacez la souris vers les bords de l'écran pour faire défiler la vue. Appuyez sur 'T' pour verrouiller la caméra sur votre cible, et de nouveau sur 'T' pour revenir à la vue normale."
"Press LMB to fire and RMB to use the shields. Use WASD to pilot the ship.","Utilisez le clic gauche pour tirer et le clic droit pour activer les boucliers. Les touches ZQSD contrôlent le vaisseau."
"Kinetic damage is good against shields, while high-explosive damage is good against armor.","Les dégâts cinétiques sont redoutables contre les boucliers, tandis que les dégâts hautement explosifs excellent contre l'armure."
"Fragmentation damage is poor against everything but exposed hull, but weapons dealing it tend to be very flux-efficient.","Les dégâts de fragmentation sont peu efficaces contre tout sauf la coque exposée, mais les armes qui en infligent sont généralement très économes en flux."
"Energy weapons do equally well against both shields and armor, but aren't as good as more specialized damage types vs either.","Les armes à énergie sont également efficaces contre les boucliers et l'armure, mais ne sont pas aussi bonnes que les types de dégâts plus spécialisés contre l'un ou l'autre."
"A missile weapon slot is versatile - there are missiles to fulfill virtually every role - but missile launchers usually have very low ammo.","Un emplacement d'arme à missiles est polyvalent - il existe des missiles pour remplir pratiquement tous les rôles - mais les lance-missiles ont généralement très peu de munitions."
"Firing weapons or using shields builds up flux. When the flux level is maxed out, you'll have to wait for it to go down before you can fire again.","Tirer avec les armes ou utiliser les boucliers accumule du flux. Quand le niveau de flux est au maximum, vous devrez attendre qu'il redescende avant de pouvoir tirer à nouveau."
"Ships receive a boost to top speed when their flux level is zero and they're not generating any flux.","Les vaisseaux reçoivent un bonus de vitesse maximale lorsque leur niveau de flux est à zéro et qu'ils n'en génèrent pas."
"When refitting a ship, Shift-click on a weapon slot to install the previously selected weapon without opening the weapon selection menu.","Lors du réaménagement d'un vaisseau, maintenez Shift en cliquant sur un emplacement d'arme pour installer l'arme précédemment sélectionnée sans ouvrir le menu de sélection."
"When creating weapon groups for a ship, Shift-click to assign all weapons of the same type.","Lors de la création de groupes d'armes pour un vaisseau, maintenez Shift en cliquant pour assigner toutes les armes du même type."
"When editing a text field, you can press Shift-Backspace to clear it, or Ctrl-Backspace to delete the last word.","Lors de l'édition d'un champ de texte, vous pouvez appuyer sur Shift-Retour arrière pour l'effacer, ou Ctrl-Retour arrière pour supprimer le dernier mot."
"Most open-market trade is made unprofitable by tariffs. Exploit ongoing events and disruptions to make a profit.","La plupart du commerce sur le marché libre est rendu non rentable par les tarifs. Exploitez les événements en cours et les perturbations pour faire du profit."
"Hold Shift while adding or removing flux vents or capacitors to do it more quickly.","Maintenez Shift en ajoutant ou retirant des évents ou des condensateurs de flux pour le faire plus rapidement."
"Hold Shift while scrolling with the mousewheel to scroll more quickly.","Maintenez Shift en utilisant la molette de la souris pour défiler plus rapidement."
"Control-click to buy/sell a stack. Shift-click to pick up items one at a time. Hold Shift and click and drag to select a specific quantity.","Ctrl-clic pour acheter/vendre un lot. Shift-clic pour prendre les objets un par un. Maintenez Shift et cliquez-glissez pour sélectionner une quantité spécifique."
"To pan the in-combat map, either right-click and drag or use the arrow keys.","Pour faire défiler la carte en combat, faites un clic droit et glissez ou utilisez les touches fléchées."
"Launching torpedoes at point-blank range can be hazardous to your ship.","Lancer des torpilles à bout portant peut être dangereux pour votre vaisseau."
"Ships with a (D) designation are substandard versions of the normal hulls.","Les vaisseaux avec une désignation (D) sont des versions inférieures des coques normales."
"Deploying ships in combat reduces their combat readiness (\"CR\"), which costs supplies to recover.","Déployer des vaisseaux en combat réduit leur état de préparation au combat (\"CR\"), qui coûte des ressources à récupérer."
"Deploying more ships than you need into combat can cost more supplies than you gain from fighting.","Déployer plus de vaisseaux que nécessaire en combat peut coûter plus de ressources que ce que vous gagnez en combattant."
"Ships consume supplies for maintenance based on their supplies/month stat, and consume extra supplies while recovering CR or undergoing repairs.","Les vaisseaux consomment des ressources pour l'entretien en fonction de leur statistique ressources/mois, et consomment des ressources supplémentaires lors de la récupération du CR ou des réparations."
"Your fleet can carry cargo, crew, or fuel in excess of its maximum capacity at the cost of extra supply consumption.","Votre flotte peut transporter du cargo, de l'équipage ou du carburant au-delà de sa capacité maximale au prix d'une consommation supplémentaire de ressources."
"You can get extra info from many tooltips by pressing F1 to expand them.","Vous pouvez obtenir des informations supplémentaires de nombreuses infobulles en appuyant sur F1 pour les développer."
"More guns isn't always better - having enough flux capacity and dissipation for sustained fire can be more important.","Plus d'armes n'est pas toujours mieux - avoir assez de capacité et de dissipation de flux pour maintenir un tir soutenu peut être plus crucial."
"Refitting a ship in the field will reduce its combat readiness, especially when changing hull mods.","Réaménager un vaisseau sur le terrain réduira son état de préparation au combat, particulièrement lors du changement de modifications de coque."
"Weapons that fire energy bolts or projectiles can hit targets beyond their maximum range, but only deal soft flux damage to shields when they do.","Les armes qui tirent des projectiles énergétiques ou des projectiles peuvent toucher des cibles au-delà de leur portée maximale, mais n'infligent que des dégâts de flux doux aux boucliers dans ce cas."
"You can create groups of ships using Ctrl and the number keys, and select them using the number keys. This works both in combat and in the deployment dialog.","Créez des groupes de vaisseaux avec Ctrl + touches numériques, et sélectionnez-les avec les touches numériques. Cela fonctionne en combat comme dans l'interface de déploiement."
"Carriers will stop launching replacement fighters once their combat readiness reaches 0%.","Les porte-nefs cessent de lancer des chasseurs de remplacement une fois leur état de préparation au combat à 0 %."
"Carriers armed with only point-defense and missile weapons will attempt to keep away from enemy ships.","Les porte-nefs équipés uniquement d'armes de défense ponctuelle et de missiles tenteront de maintenir leurs distances avec les vaisseaux ennemis."
"Press 'Z' to toggle between ordering a carrier's fighters to attack or pull back to the carrier.","Appuyez sur « Z » pour alterner entre ordonner aux chasseurs d'un porte-nefs d'attaquer ou de se replier."
"Ordering fighters to regroup will make the carrier's replacement rate go down more slowly, and will make damaged wings try to shelter behind the carrier.","Ordonner aux chasseurs de se regrouper ralentit la diminution du taux de remplacement du porte-nefs et pousse les escadrilles endommagées à s'abriter derrière lui."
"When piloting a carrier, its fighters will escort a friendly ship if the carrier targets it, and will continue escorting it until recalled even if the target is cleared.","En pilotant un porte-nefs, ses chasseurs escorteront un vaisseau allié ciblé et maintiendront l'escorte jusqu'à leur rappel, même si la cible est désélectionnée."
"Bombers have high damage potential, but work best when combined with other fighters, weapons, and ships to ensure they can deliver the damage.","Les bombardiers ont un potentiel de dégâts élevé, mais fonctionnent mieux lorsqu'ils sont combinés avec d'autres chasseurs, armes et vaisseaux pour s'assurer qu'ils peuvent délivrer les dégâts."
"Percentage increases are additive. Percentage reductions are generally multiplicative.","Les augmentations en pourcentage sont additives. Les réductions en pourcentage sont généralement multiplicatives."
"Slow-moving fleets do not attract storm strikes in hyperspace.","Les flottes se déplaçant lentement n'attirent pas les frappes de tempête dans l'hyperespace."
"Weapons have halved recoil when mounted in hardpoint slots.","Les armes ont un recul réduit de moitié lorsqu'elles sont montées dans des emplacements de points durs."
"Scuttling a ship - or simply not recovering it - will produce more value in fuel and supplies than selling it would.","Saborder un vaisseau - ou simplement ne pas le récupérer - produira plus de valeur en carburant et ressources que de le vendre."
"If a star system has few stable locations, you can create a new one by interacting with the star.","Si un système stellaire a peu d'emplacements stables, vous pouvez en créer un nouveau en interagissant avec l'étoile."
"Assigning marines to attack a low-danger objective can create a diversion and reduce casualties from a dangerous raid more than keeping those marines in reserve.","Assigner des marines pour attaquer un objectif peu dangereux peut créer une diversion et réduire les pertes d'un raid dangereux plus que de garder ces marines en réserve."
"The side with more capable officers in command of combat-ready ships gets more deployment points.","Le camp avec les officiers les plus compétents aux commandes de vaisseaux prêts au combat obtient plus de points de déploiement."
"Ships with officers or s-mods are almost always recoverable if lost in combat. Some skills and hullmods can also make other ships always recoverable.","Les vaisseaux avec des officiers ou des s-mods sont presque toujours récupérables s'ils sont perdus au combat. Certaines compétences et modifications de coque peuvent aussi rendre d'autres vaisseaux toujours récupérables."
"Scuttling or losing a ship with s-mods you've built into it grants enough bonus XP to gain back the story points spent on building the hullmods in.","Saborder ou perdre un vaisseau avec des s-mods que vous y avez intégrés accorde assez d'XP bonus pour récupérer les points d'histoire dépensés pour construire les modifications de coque."
"Slipstreams are temporary and, in recent memory, synchronized with the standard Domain cycle. In the first half of the cycle, they tend to flow towards the galactic east, and in the second half, to the west.","Les courants de glissement sont temporaires et, dans la mémoire récente, synchronisés avec le cycle standard du Domaine. Dans la première moitié du cycle, ils ont tendance à couler vers l'est galactique, et dans la seconde moitié, vers l'ouest."
"During a pursuit, you can deploy frigates from the flanks by clicking on them multiple times to cycle the deployment mode.","Pendant une poursuite, vous pouvez déployer des frégates depuis les flancs en cliquant plusieurs fois dessus pour faire défiler le mode de déploiement."
"Hullmods with a low ordnance point cost tend to have more powerful bonuses when built in.","Les modifications de coque peu coûteuses en points d'ordonnance offrent généralement des bonus plus puissants lorsqu'elles sont intégrées."
